RecordID,Name,Description,Category,Part Number,Product/Service/Bundle,Cost,Price,Markup %,Status,Charge Tax,Duration,Created Date,Last Modified Date
747325,Soda Ash,,,,Product,0.53,0.82,54.7%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:45
747326,Muriatic Acid,,,,Product,5.25,11.59,120.8%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:04:07
747327,Dichlor Shock,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T11:41:31
747328,Sodium Bicarbonate,,,,Product,0.60,1.20,100.0%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:47
747329,Stabilizer,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:54
747330,TABS,,,"EZC-50-3524, 47245890",Product,2.68,4.10,53.0%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:58
747331,Liquid chlorine,,,,Product,4.15,8.59,107.0%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:04:03
747332,Trichlor shock,,,,Product,4.69,7.59,61.8%,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:37:03
747333,CALHYPO SHOCK,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T11:35:33
747334,Dry Acid,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T11:41:35
747335,Sulfuric Acid,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:57
747336,Salt,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T12:36:37
747337,CALCIUM FLAKE,,,,Product,0.00,0.00,N/A,Active,Yes,,2025-09-17T06:31:26,2025-11-17T11:35:32
754675,"2"" Triton 2 Bulk head Wrench",,,151602,Product,0.00,0.00,N/A,Active,Yes,,2025-09-30T11:45:57,2025-11-17T11:18:57
754676,AAA Battery,AAA Battery,Accessories,E301023801,Product,8.18,6.26,-23.5%,Active,Yes,,2025-09-30T11:45:59,2025-11-17T11:18:59
754677,"ABS 3"" Fernco Proflex","ABS 3"" Fernco Proflex",Accessories,194966,Product,11.96,18.30,53.0%,Active,Yes,,2025-09-30T11:46:02,2025-11-17T11:19:02
754678,Acid Fume Scrubber,Acid Fume Scrubber,Accessories,08-02-0109,Product,620.00,948.60,53.0%,Active,Yes,,2025-09-30T11:46:04,2025-11-17T11:19:03
754679,Acid Fume Scrubber Refill,Acid Fume Scrubber Refill,Accessories,08-02-7102,Product,208.00,318.24,53.0%,Active,Yes,,2025-09-30T11:46:06,2025-11-17T11:19:05
754681,"ADA Chair 2 3/8"" Composite Anchor Cap Spectrum","ADA Chair 2 3/8"" Composite Anchor Cap Spectrum",Accessories,133089-00,Product,74.76,114.38,53.0%,Active,Yes,,2025-09-30T11:46:08,2025-11-17T11:19:07
754682,ADA Chair Actuator Motion Trek 350,ADA Chair Actuator Motion Trek 350,Accessories,153600,Product,901.88,1379.88,53.0%,Active,Yes,,2025-09-30T11:46:10,2025-11-17T11:19:09
754683,ADA Chair Anchor/Bearing Assembly Spectrum,ADA Chair Anchor/Bearing Assembly Spectrum,Accessories,173410,Product,777.06,1188.90,53.0%,Active,Yes,,2025-09-30T11:46:12,2025-11-17T11:19:11
754684,ADA Chair Aqua Creek Ranger 2,ADA Chair Aqua Creek Ranger 2,Accessories,ACPFRNGR2,Product,3893.70,6029.89,54.9%,Active,Yes,,2025-09-30T11:46:14,2025-12-04T15:09:06
754685,ADA Chair Battery Aqua Creek Linak,ADA Chair Battery Aqua Creek Linak,Accessories,F-004AB,Product,376.35,575.82,53.0%,Active,Yes,,2025-09-30T11:46:17,2025-11-17T11:19:15
754686,ADA Chair Battery Aqua Creek Vito,ADA Chair Battery Aqua Creek Vito,Accessories,F-004ABV,Product,397.68,608.45,53.0%,Active,Yes,,2025-09-30T11:46:19,2025-11-17T11:19:17
754687,ADA Chair Battery S.R. Smith,ADA Chair Battery S.R. Smith,Accessories,1001495-BC,Product,436.24,667.45,53.0%,Active,Yes,,2025-09-30T11:46:21,2025-11-17T11:19:19
754688,ADA Chair Battery Spectrum Motion Trek,ADA Chair Battery Spectrum Motion Trek,Accessories,153607,Product,402.30,615.52,53.0%,Active,Yes,,2025-09-30T11:46:23,2025-11-17T11:19:21
754689,ADA Chair Charger AC/DC Adapter Spectrum Motion Trek,ADA Chair Charger AC/DC Adapter Spectrum Motion Trek,Accessories,153604,Product,163.18,249.67,53.0%,Active,Yes,,2025-09-30T11:46:26,2025-11-17T11:19:23
754690,ADA Chair Charger Aqua Creek,ADA Chair Charger Aqua Creek,Accessories,F-044CHK,Product,389.77,596.99,53.2%,Active,Yes,,2025-09-30T11:46:28,2025-11-17T11:19:25
754691,ADA Chair Charger Aqua Creek Vito,ADA Chair Charger Aqua Creek Vito,Accessories,F-044CHVK,Product,389.77,596.35,53.0%,Active,Yes,,2025-09-30T11:46:30,2025-11-17T11:19:27
754692,ADA Chair Charger S.R. Smith,ADA Chair Charger S.R. Smith,Accessories,1001530-BC,Product,369.99,566.09,53.0%,Active,Yes,,2025-09-30T11:46:32,2025-11-17T11:19:29
754693,ADA Chair Charging Cradle Spectrum Motion Trek,ADA Chair Charging Cradle Spectrum Motion Trek,Accessories,153605,Product,117.46,179.71,53.0%,Active,Yes,,2025-09-30T11:46:34,2025-11-17T11:19:31
754694,ADA Chair Control Box 4-Botton S.R. Smith,ADA Chair Control Box 4-Botton S.R. Smith,Accessories,400-7000AX-BC,Product,603.51,923.37,53.0%,Active,Yes,,2025-09-30T11:46:36,2025-11-17T11:19:33
754695,ADA Chair Control Box Kit Aqua Creek Linak,ADA Chair Control Box Kit Aqua Creek Linak,Accessories,F-40CBJK,Product,343.67,549.87,60.0%,Active,Yes,,2025-09-30T11:46:39,2025-11-17T11:19:35
754696,ADA Chair Control Box Spectrum Motion Trek,ADA Chair Control Box Spectrum Motion Trek,Accessories,173415,Product,687.71,1100.34,60.0%,Active,Yes,,2025-09-30T11:46:41,2025-11-17T11:19:37
754697,ADA Chair Controller 2-Button Linak Aqua Creek,ADA Chair Controller 2-Button Linak Aqua Creek,Accessories,HB00-U017,Product,270.39,413.70,53.0%,Active,Yes,,2025-09-30T11:46:43,2025-11-17T11:19:39
754698,ADA Chair Controller 4-Button Linak Aqua Creek,ADA Chair Controller 4-Button Linak Aqua Creek,Accessories,F-104JH,Product,264.44,404.59,53.0%,Active,Yes,,2025-09-30T11:46:45,2025-11-17T11:19:41
754699,ADA Chair Controller Spectrum Motion Trek,ADA Chair Controller Spectrum Motion Trek,Accessories,153603,Product,173.00,278.49,61.0%,Active,Yes,,2025-09-30T11:46:47,2026-02-02T10:07:09
754700,ADA Chair Cover Blue Aqua Creek Ranger 2,ADA Chair Cover Blue Aqua Creek Ranger 2,Accessories,F-120PPC,Product,276.95,423.73,53.0%,Active,Yes,,2025-09-30T11:46:50,2025-11-17T11:19:45
754701,ADA Chair Cover Blue Aqua Creek Scout,ADA Chair Cover Blue Aqua Creek Scout,Accessories,F-450SSC,Product,443.45,678.48,53.0%,Active,Yes,,2025-09-30T11:46:52,2025-11-17T11:19:47
754702,ADA Chair Cover Blue Spectrum Gallatin,ADA Chair Cover Blue Spectrum Gallatin,Accessories,AQC27364-BL,Product,208.32,318.73,53.0%,Active,Yes,,2025-09-30T11:46:54,2025-11-17T11:19:49
754703,ADA Chair Cover Blue Spectrum Motion Trek,ADA Chair Cover Blue Spectrum Motion Trek,Accessories,AQC47949-BL,Product,195.00,298.55,53.1%,Active,Yes,,2025-09-30T11:46:56,2025-11-17T11:19:51
754704,ADA Chair Cover Tan SR Smith,"ADA Chair Cover Tan SR Smith
Lead time: 2 Weeks",Accessories,SSR9205000T,Product,680.64,1089.03,60.0%,Active,Yes,,2025-09-30T11:46:58,2025-11-17T11:19:53
754705,ADA Chair Headrest Cushion Pad Spectrum,ADA Chair Headrest Cushion Pad Spectrum,Accessories,13297-00,Product,109.38,167.35,53.0%,Active,Yes,,2025-09-30T11:47:00,2025-11-17T11:19:55
754706,ADA Chair Mast Replacement Spectrum,ADA Chair Mast Replacement Spectrum,Accessories,163360/163360,Product,1078.00,1649.34,53.0%,Active,Yes,,2025-09-30T11:47:02,2025-11-17T11:19:57
754707,ADA Chair Motion Trek,ADA Chair Motion Trek,Accessories,BP350,Product,4963.19,7595.68,53.0%,Active,Yes,,2025-09-30T11:47:04,2025-11-17T11:20:00
754708,ADA Chair Pressure Foot Aqua Creek Patriot,ADA Chair Pressure Foot Aqua Creek Patriot,Accessories,"65137374, 06870703",Product,27.38,41.89,53.0%,Active,Yes,,2025-09-30T11:47:07,2025-11-17T11:20:02
754709,ADA Chair Rotational Motor Assembly Spectrum,ADA Chair Rotational Motor Assembly Spectrum,Accessories,173424,Product,706.72,1081.28,53.0%,Active,Yes,,2025-09-30T11:47:09,2025-11-17T11:20:03
754710,ADA Chair Seat Belt Assembly Aqua Creek,ADA Chair Seat Belt Assembly Aqua Creek,Accessories,F-38SB,Product,72.51,110.94,53.0%,Active,Yes,,2025-09-30T11:47:11,2025-11-17T11:20:05
